Month	KOSPI	Price_Seoul	Homeloan	Call_rate	M2	Export	Sentiment
13-Dec	1988.33 	80.57 	127035.20 	2.50 	1932.00 	20.90 	21.27 
14-Jan	1948.22 	80.59 	126949.90 	2.50 	1937.00 	20.70 	29.70 
14-Feb	1937.73 	80.66 	127728.20 	2.49 	1954.30 	20.00 	40.39 
14-Mar	1952.43 	80.79 	128438.20 	2.48 	1965.00 	21.30 	43.88 
14-Apr	1991.19 	80.84 	128399.90 	2.49 	1970.40 	21.00 	32.43 
14-May	1994.13 	80.83 	128903.20 	2.49 	1982.40 	22.10 	31.49 
14-Jun	1995.08 	80.77 	129784.10 	2.48 	1999.40 	22.80 	29.30 
14-Jul	2021.95 	80.77 	130921.40 	2.49 	2013.90 	19.30 	28.02 
14-Aug	2060.93 	80.80 	131869.60 	2.34 	2031.80 	20.50 	43.29 
14-Sep	2042.71 	80.97 	133147.80 	2.23 	2037.60 	22.60 	60.46 
14-Oct	1942.80 	81.14 	134970.10 	2.06 	2051.10 	22.40 	53.57 
14-Nov	1959.65 	81.21 	136373.70 	1.98 	2083.30 	20.70 	41.52 
14-Dec	1941.93 	81.22 	137629.00 	1.99 	2088.70 	20.60 	35.74 
15-Jan	1920.99 	81.26 	138052.90 	1.99 	2092.20 	19.20 	41.04 
15-Feb	1961.00 	81.39 	139228.20 	2.12 	2109.90 	21.80 	60.02 
15-Mar	2012.62 	81.67 	141060.90 	1.82 	2127.90 	19.50 	84.92 
15-Apr	2107.27 	82.03 	143806.20 	1.73 	2148.10 	19.30 	78.76 
15-May	2114.90 	82.29 	143928.80 	1.74 	2166.70 	20.60 	81.97 
15-Jun	2063.69 	82.64 	140432.20 	1.57 	2179.60 	19.80 	85.92 
15-Jul	2058.03 	83.00 	141387.30 	1.48 	2200.50 	19.30 	94.08 
15-Aug	1952.55 	83.35 	143353.10 	1.49 	2218.70 	17.80 	86.21 
15-Sep	1939.58 	83.78 	145157.60 	1.48 	2230.00 	20.20 	86.21 
15-Oct	2020.57 	84.14 	147568.30 	1.48 	2232.40 	18.80 	94.08 
15-Nov	2006.78 	84.56 	149085.70 	1.49 	2242.80 	19.30 	73.14 
15-Dec	1971.53 	84.74 	151157.60 	1.48 	2246.10 	17.70 	62.72 
16-Jan	1894.65 	84.82 	151897.60 	1.49 	2261.40 	16.20 	52.30 
16-Feb	1900.61 	84.92 	152080.10 	1.49 	2285.30 	18.00 	48.63 
16-Mar	1976.50 	85.00 	153160.20 	1.49 	2294.50 	17.90 	52.44 
16-Apr	1996.17 	85.08 	154391.20 	1.49 	2299.10 	18.20 	58.59 
16-May	1966.68 	85.25 	156076.00 	1.49 	2312.80 	18.50 	73.56 
16-Jun	1977.03 	85.50 	158001.30 	1.28 	2334.30 	19.70 	95.47 
16-Jul	2002.48 	85.82 	159624.80 	1.23 	2352.20 	17.40 	108.47 
16-Aug	2036.66 	86.14 	161830.80 	1.23 	2377.30 	16.70 	114.30 
16-Sep	2042.56 	86.41 	163200.00 	1.24 	2383.00 	19.50 	124.77 
16-Oct	2036.03 	86.83 	164916.10 	1.23 	2391.10 	18.70 	124.83 
16-Nov	1981.75 	87.22 	167171.70 	1.23 	2406.40 	19.90 	80.67 
16-Dec	2021.67 	87.29 	167875.70 	1.23 	2414.00 	18.40 	63.96 
17-Jan	2061.73 	87.31 	167698.80 	1.24 	2417.80 	18.70 	53.26 
17-Feb	2082.80 	87.34 	167852.00 	1.23 	2420.30 	19.60 	58.72 
17-Mar	2136.17 	87.41 	168377.30 	1.23 	2437.00 	20.30 	65.82 
17-Apr	2160.18 	87.50 	169036.10 	1.23 	2450.20 	22.70 	73.07 
17-May	2301.89 	87.64 	169838.40 	1.23 	2454.40 	21.40 	94.10 
17-Jun	2372.20 	88.13 	171044.50 	1.24 	2470.90 	22.30 	124.72 
17-Jul	2412.90 	88.68 	172570.40 	1.24 	2472.10 	20.80 	123.08 
17-Aug	2372.18 	89.30 	174607.20 	1.23 	2485.60 	19.60 	81.96 
17-Sep	2371.84 	89.43 	174828.70 	1.25 	2492.40 	23.50 	69.48 
17-Oct	2482.87 	89.71 	175427.90 	1.24 	2504.60 	24.90 	85.30 
17-Nov	2533.51 	90.10 	176351.50 	1.26 	2521.80 	20.70 	84.91 
17-Dec	2467.73 	90.51 	176991.00 	1.51 	2527.60 	21.80 	88.41 
18-Jan	2520.94 	91.15 	177280.40 	1.49 	2551.20 	20.50 	118.02 
18-Feb	2439.10 	91.78 	177150.80 	1.49 	2570.80 	22.80 	122.84 
18-Mar	2451.57 	92.63 	177624.20 	1.49 	2578.40 	21.80 	103.91 
18-Apr	2458.22 	93.27 	178078.00 	1.47 	2590.80 	21.70 	79.04 
18-May	2461.30 	93.62 	178762.90 	1.50 	2600.30 	23.60 	80.00 
18-Jun	2394.51 	93.98 	178960.10 	1.49 	2622.30 	23.80 	77.84 
